,date,hour,distance,points,km/h,pilot_nationality,pilot,country,launch
0,2021-09-29,14:09:00,27.02,43.23,7.68,US,Jared Scheid,US,?
1,2021-09-29,15:35:00,26.72,37.41,18.96,CA,Alex Raymont,US,Cove
2,2021-09-29,12:34:00,34.49,34.5,24.9,PL,Marek Kadamus,US,Cullom
3,2021-09-29,15:38:00,33.51,33.51,15.43,US,Jonathan Leusden,US,Cove
4,2021-09-29,12:21:00,20.3,32.48,7.93,US,Sam Crocker,US,Woodrat M...
5,2021-09-29,12:21:00,20.3,32.48,7.93,US,Sam Crocker,US,Woodrat M...
6,2021-09-29,16:31:00,23.44,28.13,13.74,US,Mark Snyder,US,Cove
7,2021-09-29,15:38:00,26.72,26.72,14.48,US,Ben Parker,US,Cove
8,2021-09-29,15:53:00,22.07,22.06,10.89,US,Max Montgomery,US,Cove
9,2021-09-29,15:47:00,21.57,21.57,24.66,PL,Marek Kadamus,US,Cullom
10,2021-09-29,16:27:00,17.7,21.24,11.63,US,Ross Desmond,US,Cove
11,2021-09-29,16:26:00,20.18,20.18,12.22,US,Scott Harding,US,Cove
12,2021-09-29,15:37:00,16.11,19.33,12.86,CA,Nicole McLearn,US,Cove
13,2021-09-29,13:12:00,18.14,18.14,19.81,US,Janusz Rozanski,US,Cullom
14,2021-09-29,16:46:00,11.15,17.84,15.89,US,Alec Page,US,Cove
15,2021-09-29,14:43:00,14.09,0.0,12.53,US,Nathan Fligge,US,Woodrat M...
16,2021-09-29,15:35:00,16.2,16.2,17.91,CA,James Elliott,US,Cove
17,2021-09-29,15:41:00,16.19,16.19,17.91,CA,James Elliott,US,Cove
18,2021-09-29,16:17:00,15.8,15.8,18.74,US,Ron Davis,US,Cove
19,2021-09-29,15:51:00,15.65,0.0,11.04,US,Rick Fullmer,US,Cove
20,2021-09-29,16:16:00,15.22,15.22,20.29,US,ANDREW BOTTOLFSON,US,Cove
21,2021-09-29,16:21:00,15.09,15.09,16.87,US,Norm Young,US,Woodrat M...
22,2021-09-29,16:46:00,14.95,14.95,14.02,US,David Oddy,US,Cove
23,2021-09-29,16:25:00,12.94,12.94,12.18,FR,Maxime Lasserre,US,Cove
24,2021-09-29,16:34:00,12.8,12.8,19.67,US,Pamela Kinnaird,US,Cove
25,2021-09-29,17:47:00,12.31,12.31,17.33,US,Oleksiy Buynytskyy,US,Cove
26,2021-09-29,15:56:00,9.48,11.38,18.35,US,Will Taylor,US,Woodrat M...
27,2021-09-29,15:32:00,10.45,10.45,13.76,US,Vinay Shah,US,Cove
28,2021-09-29,16:32:00,10.03,10.03,22.24,US,Huntley Brockie,US,Cove
29,2021-09-29,15:38:00,9.44,9.44,9.72,US,Janusz Rozanski,US,Cullom
30,2021-09-29,15:42:00,9.36,9.36,20.23,US,Stu Frost,US,Cove
31,2021-09-29,11:02:00,8.17,8.17,8.44,US,Tommy Futral,US,Slide
32,2021-09-29,14:04:00,4.96,7.94,9.59,CA,Evan Cohen,US,Mission Peak
33,2021-09-29,15:58:00,7.54,7.54,15.99,US,Sam Inouye,US,Horse Heavan
34,2021-09-29,15:25:00,7.37,7.37,15.21,US,Oleksiy Buynytskyy,US,Cove
35,2021-09-29,16:56:00,7.25,7.24,12.3,US,Josh Mazza,US,Cove
36,2021-09-29,12:48:00,5.12,7.17,22.18,US,Janusz Rozanski,US,Cullom
37,2021-09-29,13:30:00,4.66,6.52,5.98,US,Andrey Kuznetsov,US,Mt Ascutney
38,2021-09-29,15:16:00,6.45,6.45,10.97,US,Jonathan Grimes,US,Poverty R...
39,2021-09-29,16:07:00,6.36,6.36,18.34,US,Stephen Guyette,US,Cove
40,2021-09-29,12:12:00,5.65,5.65,13.82,US,George Huffman,US,Pulpit
41,2021-09-29,16:39:00,5.6,5.6,31.14,US,Aaron Gale,US,Cove
42,2021-09-29,16:53:00,5.56,5.56,21.72,US,David Hoffman,US,Cove
43,2021-09-29,11:25:00,4.32,4.31,23.64,US,Andrey Kuznetsov,US,Mt Ascutney
44,2021-09-29,14:04:00,4.01,4.02,11.54,US,Will Taylor,US,Woodrat M...
45,2021-09-29,15:59:00,3.66,3.66,13.01,US,Jordan Sherman,US,Bingen
46,2021-09-29,12:14:00,3.08,3.08,9.92,US,Max Kotchouro,US,Mt Ascutney
47,2021-09-29,16:11:00,1.81,2.91,2.52,US,David Suder,US,Blue Rock
48,2021-09-29,16:23:00,2.8,2.8,1.93,US,Sam Neustadt,US,Blue Rock
49,2021-09-29,17:17:00,2.27,2.27,7.97,US,Tommy Futral,US,Duck Hill
50,2021-09-29,18:17:00,1.0,1.0,10.88,US,Tommy Futral,US,Duck Hill
0,2021-09-30,12:12:00,90.6,90.6,20.01,US,Violeta Jimenez,US,Wales
1,2021-09-30,14:28:00,81.12,81.12,27.67,US,Austin Ibele,US,Wales
2,2021-09-30,14:25:00,79.28,79.28,24.79,US,Ben Parker,US,Wales
3,2021-09-30,14:29:00,69.57,69.57,27.32,US,Max Montgomery,US,Wales
4,2021-09-30,08:25:00,42.04,67.26,5.11,US,Eric Klammer,US,?
5,2021-09-30,14:39:00,66.49,66.49,27.32,US,Ariel Zlatkovski,US,Wales
6,2021-09-30,08:02:00,41.29,66.06,4.25,US,Taylor Rice,US,?
7,2021-09-30,10:29:00,37.63,52.68,5.02,US,Subir Sidhu,US,Cove
8,2021-09-30,13:57:00,27.38,38.33,13.56,CA,Alex Raymont,US,Cove
9,2021-09-30,13:53:00,27.24,38.14,19.22,US,Huntley Brockie,US,Cove
10,2021-09-30,13:53:00,26.85,37.59,11.13,US,Scott Harding,US,Cove
11,2021-09-30,14:09:00,36.33,36.33,12.74,US,Brian Greeson,US,Cove
12,2021-09-30,14:09:00,35.27,35.27,12.27,US,Nick Wilder,US,Cove
13,2021-09-30,13:27:00,33.55,33.55,17.32,US,Ross Desmond,US,Cove
14,2021-09-30,13:41:00,32.66,32.66,10.99,US,Alec Page,US,Cove
15,2021-09-30,13:14:00,32.23,32.23,19.75,US,Jason Wallace,US,Cove
16,2021-09-30,14:11:00,30.75,30.75,14.07,US,Josh Mazza,US,Cove (Ric...
17,2021-09-30,14:07:00,28.45,28.45,16.42,US,Oleksiy Buynytskyy,US,?
18,2021-09-30,12:54:00,28.3,28.3,18.68,CA,James Elliott,US,Cove
19,2021-09-30,13:36:00,28.22,28.22,11.86,US,Zachary Witters,US,Cove
20,2021-09-30,13:21:00,19.59,27.43,2.79,US,Pamela Kinnaird,US,Cove
21,2021-09-30,13:22:00,26.82,26.82,13.73,US,Mitchell Szpila,US,Cove
22,2021-09-30,13:25:00,23.82,23.82,11.48,US,Stu Frost,US,Cove
23,2021-09-30,14:01:00,12.74,17.84,23.04,US,Stephen Guyette,US,Cove
24,2021-09-30,14:17:00,17.5,17.49,28.26,US,Julie Spiegler,US,Cove
25,2021-09-30,14:06:00,16.61,16.61,17.25,US,Aaron Gale,US,Cove
26,2021-09-30,12:06:00,15.36,15.36,16.22,US,Max Montgomery,US,Wales
27,2021-09-30,11:28:00,14.95,14.95,12.36,US,Rick Fullmer,US,Mt Edna
28,2021-09-30,14:29:00,14.71,14.71,11.13,US,Mark Snyder,US,Cove
29,2021-09-30,14:58:00,14.18,14.18,12.5,US,Vinay Shah,US,Cove
30,2021-09-30,12:21:00,14.02,14.02,20.5,US,Ben Parker,US,Wales
31,2021-09-30,12:08:00,13.62,13.62,14.93,US,Sam Inouye,US,Wales
32,2021-09-30,13:29:00,13.39,13.39,27.69,US,Andrey Yakimov,US,Cove
33,2021-09-30,18:10:00,13.04,13.04,17.69,US,Stephen Guyette,US,Cove
34,2021-09-30,14:05:00,12.51,12.51,10.09,US,David Hoffman,US,Cove
35,2021-09-30,18:27:00,12.18,12.18,26.6,US,Aaron Gale,US,Cove
36,2021-09-30,11:14:00,11.3,11.3,19.22,US,Mike Brown,US,Mt Edna
37,2021-09-30,14:01:00,11.3,11.3,12.74,US,David Oddy,US,Cove
38,2021-09-30,12:23:00,11.04,11.04,14.61,US,Ron Davis,US,Wales
39,2021-09-30,18:28:00,9.68,9.68,27.32,US,Stu Frost,US,?
40,2021-09-30,16:28:00,9.53,9.53,11.18,US,Sam Crocker,US,Woodrat M...
41,2021-09-30,17:31:00,7.95,7.95,19.61,DE,Clemens Rumpf,US,Cove
42,2021-09-30,14:31:00,7.94,7.94,9.91,US,Nathan Fligge,US,Woodrat M...
43,2021-09-30,16:55:00,7.86,7.85,13.97,US,Nathan Fligge,US,Burnt Mou...
44,2021-09-30,13:39:00,7.8,7.8,17.17,US,Oleksiy Buynytskyy,US,Cove
45,2021-09-30,13:29:00,5.36,7.5,11.47,CA,Evan Cohen,US,Windy Hill
46,2021-09-30,10:29:00,6.76,6.76,19.45,US,Mitchell Szpila,US,Cove
47,2021-09-30,16:22:00,6.56,6.56,14.99,US,Nathan Fligge,US,Woodrat M...
48,2021-09-30,11:45:00,4.56,5.47,10.74,US,Jonathan Grimes,US,Poverty R...
49,2021-09-30,14:11:00,5.06,5.06,4.76,US,Bill Hetzel,US,Woodstock
50,2021-09-30,14:07:00,4.37,4.37,11.93,US,Will Taylor,US,Woodrat M...
51,2021-09-30,18:00:00,3.63,3.63,14.18,US,Jordan Sherman,US,Bingen
52,2021-09-30,11:31:00,3.34,3.34,5.73,US,Tonya Mistretta,US,Poverty R...
53,2021-09-30,14:04:00,2.27,3.18,8.74,US,Vinay Shah,US,Cove
54,2021-09-30,11:59:00,1.75,2.8,8.05,US,ANDREW BOTTOLFSON,US,Poverty R...
55,2021-09-30,12:48:00,1.29,1.29,10.15,CA,Alex Raymont,US,Cove
